,pl,be,uk,ru,bg,sl,cs,en
3368,Hostylian,Гастыліян,Гостіліан,Гостилиан,Хостилиан,Hostilijan,Hostilianus,Hostilian
3369,Woluzjan,Валузіян,Волузіан,Волузиан,Волусиан,Voluzijan,Volusianus,Volusianus
3370,Michael Shanks,Майкл Шэнкс,Майкл Шенкс,Майкл Шэнкс,Майкъл Шанкс,Michael Shanks,Michael Shanks,Michael Shanks
3371,Vuk Branković,Вук Бранкавіч,Вук Бранкович,Вук Бранкович,Вук Бранкович,Vuk Branković,Vuk Branković,Vuk Branković
3372,Cezar Borgia,Чэзарэ Борджыя,Чезаре Борджіа,Чезаре Борджиа,Чезаре Борджия,Cesare Borgia,Cesare Borgia,Cesare Borgia
3373,Jerzy Dołgoruki,Юрый Далгарукі,Юрій Долгорукий,Юрий Долгорукий,Юрий Долгорукий,Jurij Dolgoroki,Jurij Dolgorukij,Yuri Dolgorukiy
3374,Roman Jakobson,Раман Восіпавіч Якабсон,Роман Якобсон,Роман Якобсон,Роман Якобсон,Roman Jakobson,Roman Jakobson,Roman Jakobson
3375,Wsiewołod I,Усевалад Яраславіч,Всеволод Ярославич,Всеволод Ярославич,Всеволод I,Vsevolod I. Kijevski,Vsevolod I. Jaroslavič,Vsevolod I of Kiev
3376,Alaryk,Аларых I,Аларіх I,Аларих I,Аларих I,Alarik I,Alarich I,Alaric I
3377,Franciszek Ksawery,Францыск Ксаверый,Франциск Ксав'єр,Франциск Ксаверий,Франциск Ксаверий,Frančišek Ksaverij,František Xaverský,Francis Xavier
3378,Tommaso Campanella,Тамаза Кампанела,Томмазо Кампанелла,Томмазо Кампанелла,Томазо Кампанела,Tommaso Campanella,Tommaso Campanella,Tommaso Campanella
3379,Edmund Burke,Эдмунд Бёрк,Едмунд Берк,Эдмунд Бёрк,Едмънд Бърк,Edmund Burke,Edmund Burke,Edmund Burke
3380,Thomas Carlyle,Томас Карлайл,Томас Карлайл,Томас Карлейль,Томас Карлайл,Thomas Carlyle,Thomas Carlyle,Thomas Carlyle
3381,Isaiah Berlin,Ісая Берлін,Ісайя Берлін,Исайя Берлин,Исая Бърлин,Isaiah Berlin,Isaiah Berlin,Isaiah Berlin
3382,Celestyn I,Селестын I,Целестин I,Целестин I,Целестин I,Papež Celestin I,Celestýn I,Pope Celestine I
3383,Nestoriusz,Несторый,Несторій,Несторий,Несторий,Nestor,Nestorios,Nestorius
3384,Celestyn II,Цэлесцін II,Целестин II,Целестин II,Целестин II,Papež Celestin II,Celestýn II,Pope Celestine II
3385,Jan XII ,Ян XII ,Іван XII,Иоанн XII ,Йоан XII,Papež Janez XII,Jan XII,Pope John XII
3386,Symplicjusz ,Сімпліцый ,Сімпліцій,Симплиций ,Симплиций,Papež Simplicij,Simplicius,Pope Simplicius
3387,Bonifacy IV,Баніфацый IV ,Боніфацій IV,Бонифаций IV,Бонифаций IV,Papež Bonifacij IV,Bonifác IV,Pope Boniface IV
3388,Vilfredo Pareto,Вільфрэда Парэта,Вільфредо Парето,Вильфредо Парето,Вилфредо Парето,Vilfredo Pareto,Vilfredo Pareto,Vilfredo Pareto
3389,Sergiusz II ,Сергій II ,Сергій II,Сергий II,Сергий II ,Papež Sergij II,Sergius II,Sergius II
3390,Athanasius Kircher,Афанасій Кірхер,Атанасій Кірхер,Афанасий Кирхер,Атанасий Кирхер,Athanasius Kircher,Athanasius Kircher,Athanasius Kircher
3391,Bettina von Arnim,Беціна фон Арнім,Беттіна фон Арнім,Беттина Арним,Бетина фон Арним,Bettina von Arnim,Bettina von Arnim,Bettina von Arnim
3392,Dositej Obradović,Дасітэй Абрадавіч,Досітей Обрадович,Доситей Обрадович,Доситей Обрадович,Dositej Obradović,Dositej Obradović,Dositej Obradović
3393,Milorad Pavić,Міларад Павіч,Милорад Павич,Милорад Павич,Милорад Павич,Milorad Pavić,Milorad Pavić,Milorad Pavić
3394,Ante Gotovina,Антэ Гатовіна,Анте Готовіна,Анте Готовина,Анте Готовина,Ante Gotovina,Ante Gotovina,Ante Gotovina
3395,Clara Zetkin,Клара Цэткін,Клара Цеткін,Клара Цеткин,Клара Цеткин,Clara Zetkin,Klára Zetkinová,Clara Zetkin
3396,Ivana Brlić-Mažuranić,Івана Брліч-Мажураніч,Івана Брлич-Мажуранич,Ивана Брлич-Мажуранич,Ивана Бърлич-Мажуранич,Ivana Brlić-Mažuranić,Ivana Brlićová-Mažuranićová,Ivana Brlić-Mažuranić
3397,Eusébio,Эўзеб’ю,Еусебіу,Эйсебио,Еузебио,Eusébio,Eusébio,Eusébio
3398,Carol Greider,Кэрал Грэйдэр,Керол Грейдер,Кэрол Грейдер,Карол Грейдър,Carol W. Greider,Carol W. Greiderová,Carol W. Greider
3399,Françoise Barré-Sinoussi,Франсуаза Барэ-Сінусі,Франсуаза Барре-Сінуссі,Франсуаза Барре-Синусси,Франсоаз Баре-Синуси,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi
3400,Harald zur Hausen,Харальд цур Хаўзен,Гаральд цур Гаузен,Харальд Хаузен,Харалд цур Хаузен,Harald zur Hausen,Harald zur Hausen,Harald zur Hausen
3401,C.S. Lewis,Клайв Стэйплз Льюіс,Клайв Стейплз Льюїс,Клайв Льюис,Клайв Стейпълс Луис,Clive Staples Lewis,Clive Staples Lewis,C. S. Lewis
3402,Selman Waksman,Зельман Ваксман,Зельман Ваксман,Зельман Ваксман,Селман Ваксман,Selman Waksman,Selman Abraham Waksman,Selman Waksman
3403,Luc Montagnier,Люк Мантанье,Люк Монтаньє,Люк Монтанье,Люк Монтание,Luc Montagnier,Luc Montagnier,Luc Montagnier
3404,Charles Nicolle,Шарль Ніколь,Шарль Ніколь,Шарль Николь,Шарл Никол,Charles Jules Henri Nicolle,Charles Nicolle,Charles Nicolle
3405,Maciej Korwin,Мацьяш I,Матвій Корвін,Матьяш I ,Матяш Корвин,Matija Korvin,Matyáš Korvín,Matthias Corvinus
3406,Rudolf II Habsburg,Рудольф II,Рудольф II,Рудольф II,Рудолф II,Rudolf II. Habsburški,Rudolf II,Rudolf II
3407,Henryk VII Luksemburski,Генрых VII Люксембургскі,Генріх VII ,Генрих VII ,Хайнрих VII ,Henrik VII. Luksemburški,Jindřich VII. Lucemburský,Henry VII
3408,Hannes Kolehmainen,Ханес Колехмайнен,Ганнес Колехмайнен,Ханнес Колехмайнен,Ханес Колехмайнен,Hannes Kolehmainen,Hannes Kolehmainen,Hannes Kolehmainen
3409,Johan Gadolin,Юхан Гадалін,Юган Ґадолін,Юхан Гадолин,Йохан Гадолин,Johan Gadolin,Johan Gadolin,Johan Gadolin
3410,Krista Siegfrids,Крыста Сіегфрыдс,Кріста Сігфрідс,Криста Сиегфридс,Криста Зигфридс,Krista Siegfrids,Krista Siegfrids,Krista Siegfrids
3411,Dominic Dale,Дамінік Дэйл,Домінік Дейл,Доминик Дейл,Доминик Дейл,Dominic Dale,Dominic Dale,Dominic Dale
3412,Steve Irwin,Стыў Ірвін,Стівен Роберт Ірвін,Стив Ирвин,Стив Ъруин,Steve Irwin,Steve Irwin,Steve Irwin
3413,Colleen McCullough,Колін Мак-Калау,Коллін Мак-Каллоу,Колин Маккалоу,Колийн Маккълоу,Colleen McCullough,Colleen McCulloughová,Colleen McCullough
3414,Petro Poroszenko,Пётр Аляксеевіч Парашэнка,Петро Порошенко,Пётр Порошенко,Петро Порошенко,Petro Porošenko,Petro Porošenko,Petro Poroshenko
3415,Sean Penn,Шон Пен,Шон Пенн,Шон Пенн,Шон Пен,Sean Penn,Sean Penn,Sean Penn
3416,Owen Wilson,Оўэн Уілсан,Оуен Вілсон,Оуэн Уилсон,Оуен Уилсън,Owen Wilson,Owen Wilson,Owen Wilson
3417,Michael Haneke,Міхаэль Ханэке,Міхаель Ганеке,Михаэль Ханеке,Михаел Ханеке,Michael Haneke,Michael Haneke,Michael Haneke
3418,Liam Neeson,Ліям Нісан,Ліам Нісон,Лиам Нисон,Лиъм Нийсън,Liam Neeson,Liam Neeson,Liam Neeson
3419,Michael Ende,Міхаэль Эндэ,Міхаель Енде,Михаэль Энде,Михаел Енде,Michael Ende,Michael Ende,Michael Ende
3420,Harriet Beecher Stowe,Гарыет Бічэр-Стоу,Гаррієт Бічер-Стоу,Гарриет Бичер-Стоу,Хариет Бичър Стоу,Harriet Beecher Stowe,Harriet Beecher Stoweová,Harriet Beecher Stowe
3421,Michael J. Fox,Майкл Джэй Фокс,Майкл Фокс,Майкл Фокс,Майкъл Джей Фокс,Michael J. Fox,Michael J. Fox,Michael J. Fox
3422,J.J. Abrams,Джэфры Джэйкаб Абрамс,Джей Абрамс,Джей Абрамс,Джей Джей Ейбрамс,Jeffrey Jacob Abrams,J. J. Abrams,J. J. Abrams
3423,Charles Babbage,Чарльз Бэбідж,Чарлз Беббідж,Чарлз Бэббидж,Чарлз Бабидж,Charles Babbage,Charles Babbage,Charles Babbage
3424,Ivan Cankar,Іван Цанкар,Іван Цанкар,Иван Цанкар,Иван Цанкар,Ivan Cankar,Ivan Cankar,Ivan Cankar
3425,Dragiša Cvetković,Драгіша Цветкавіч,Драгіша Цветкович,Драгиша Цветкович,Драгиша Цветкович,Dragiša Cvetković,Dragiša Cvetković,Dragiša Cvetković
3426,Eugen Bleuler,Ойген Блейлер,Ойген Блейлер,Эйген Блейлер,Ойген Блойлер,Eugen Bleuler,Eugen Bleuler,Eugen Bleuler
3427,Ferdinand von Zeppelin,Фердынанд фон Цэпелін,Фердинанд фон Цеппелін,Фердинанд Цеппелин,Фердинанд фон Цепелин,Ferdinand von Zeppelin,Ferdinand von Zeppelin,Ferdinand von Zeppelin
3428,Aksel Lund Svindal,Аксель Лунд Свіндаль,Лунд Аксель,Аксель Свиндаль,Аксел Лунд Свиндал,Aksel Lund Svindal,Aksel Lund Svindal,Aksel Lund Svindal
3429,Simon Ammann,Сімон Аман,Симон Амман,Симон Амман,Зимон Аман,Simon Ammann,Simon Ammann,Simon Ammann
3430,Jakov Fak,Якаў Фак,Яков Фак,Яков Фак,Яков Фак,Jakov Fak,Jakov Fak,Jakov Fak
3431,Sven Kramer,Свен Крамер,Свен Крамер,Свен Крамер,Свен Крамер,Sven Kramer,Sven Kramer,Sven Kramer
3432,Marit Bjørgen,Марыт Б’ёрген,Маріт Б'єрген,Марит Бьёрген,Марит Бьорген,Marit Bjørgen,Marit Bjørgenová,Marit Bjørgen
3433,Julija Lipnicka,Юлія Вячаславаўна Ліпніцкая,Юлія Липницька,Юлия Липницкая,Юлия Липницкая,Julija Lipnicka,Julia Lipnická,Yulia Lipnitskaya
3434,Kamil Stoch,Каміль Стох,Каміль Стох,Камиль Стох,Камил Стох,Kamil Stoch,Kamil Stoch,Kamil Stoch
3435,Martin Fourcade,Мартэн Фуркад,Мартен Фуркад,Мартен Фуркад,Мартен Фуркад,Martin Fourcade,Martin Fourcade,Martin Fourcade
3436,Peter Prevc,Петэр Прэўц,Петер Превц,Петер Превц,Петер Превц,Peter Prevc,Peter Prevc,Peter Prevc
3437,Tina Maze,Ціна Мазэ,Тіна Мазе,Тина Мазе,Тина Мазе,Tina Maze,Tina Mazeová,Tina Maze
3438,Miloš Crnjanski,Мілаш Црнянскі,Мілош Црнянський,Милош Црнянский,Милош Църнянски,Miloš Crnjanski,Miloš Crnjanski,Miloš Crnjanski
3439,Ivica Kostelić,Івіца Костэліч,Івиця Костелич,Ивица Костелич,Ивица Костелич,Ivica Kostelić,Ivica Kostelić,Ivica Kostelić
3440,Lara Gut-Behrami,Лара Гут,Лара Ґут,Лара Гут-Бехрами,Лара Гут,Lara Gut-Behrami,Lara Gutová-Behramiová,Lara Gut-Behrami
3441,Anna Veith,Ганна Фенінгер,Анна Файт,Анна Файт,Ана Фенингер,Anna Veith,Anna Veithová,Anna Veith
3442,Anna ,Ганна ,Анна ,Анна ,Ан ,Anne,Anne Mountbatten-Windsor,An Lushan
3443,Jan XI ,Ян XI ,Іван XI,Иоанн XI ,Йоан XI,Papež Janez XI,Jan XI,Pope John XI
3444,Bode Miller,Бодэ Мілер,Боде Міллер,Боде Миллер,Боди Милър,Bode Miller,Bode Miller,Bode Miller
3445,Pisanello,Пізанела,Пізанелло,Пизанелло,Пизанело,Pisanello,Pisanello,Pisanello
3446,Matylda toskańska,Мацільда Тасканская,Матильда ,Матильда Тосканская,Матилда Тосканска,Matilda Toskanska,Matylda Toskánská,Matilda of Tuscany
3447,Leon VI ,Леў VI ,Лев VI,Лев VI ,Лъв VI ,Papež Leon VI,Lev VI,Leo VI
3448,Stefan VII,Стэфан VII ,Стефан VII,Стефан VII ,Стефан VIII,Papež Štefan VII,Štěpán VII,Pope Stephen VII
3449,Ernst Abbe,Эрнст Абэ,Ернст Аббе,Эрнст Аббе,Ернст Карл Абе,Ernst Karl Abbe,Ernst Abbe,Ernst Abbe
3450,Charles Greeley Abbot,Чарлз Грылі Абат,Чарлз Грілі Аббот,Чарлз Аббот,Чарлс Грийли Абът,Charles Greeley Abbot,Charles Greeley Abbot,Charles Greeley Abbot
3451,Abd al-Malik ibn Marwan,Абдул-Малік ібн Мерван,Абд аль-Малік ібн Марван,Абдуль-Малик ибн Марван,Абд ал-Малик ибн Маруан,Abd al-Malik ibn Marvan,Abdulmalik,Abd al-Malik ibn Marwan
3452,Edward Śmigły-Rydz,Э. Рыдз-Сміглы,Едвард Ридз-Сміглий,Эдвард Рыдз-Смиглы,Едвард Ридз-Шмигли,Eduard Śmigly-Rydz,Edward Śmigły-Rydz,Edward Rydz-Śmigły
3453,Manuel Neuer,Мануэль Ноер,Мануель Ноєр,Мануэль Нойер,Мануел Нойер,Manuel Neuer,Manuel Neuer,Manuel Neuer
3454,Walter Baade,Вальтэр Баадэ,Вальтер Бааде,Вальтер Бааде,Валтер Бааде,Walter Baade,Walter Baade,Walter Baade
3455,Henry H. Arnold,Генры Харлі Арналд,Генрі Арнольд,Генри Арнолд,Хенри Арнолд,Henry Harley Arnold,Henry H. Arnold,Henry H. Arnold
3456,Pete Sampras,Піт Сампрас,Піт Сампрас,Пит Сампрас,Пийт Сампрас,Pete Sampras,Pete Sampras,Pete Sampras
3457,Andy Murray,Эндзі Марэй,Енді Маррей,Энди Маррей,Анди Мъри,Andy Murray,Andy Murray,Andy Murray
3458,Xavi,Хаві,Хаві Ернандес,Хави,Шави,Xavi,Xavi,Xavi
3459,Raúl González Blanco,Рауль Гансалес,Рауль Гонсалес,Рауль Гонсалес,Раул ,Raúl,Raúl González,Raúl González
3460,Pietro Badoglio,П’етра Бадолья,П'єтро Бадольйо,Пьетро Бадольо,Пиетро Бадолио,Pietro Badoglio,Pietro Badoglio,Pietro Badoglio
3461,Nicolas Charles Oudinot,Нікола Шарль Удзіно,Ніколя Шарль Удіно,Никола Удино,Никола Удино,Nicolas Oudinot ,Charles Nicolas Oudinot,Nicolas Oudinot
3462,Laurent de Gouvion Saint-Cyr,Ларан дэ Гувіён Сен-Сір,Лоран де Гувйон Сен-Сір,Лоран Гувион Сен-Сир,Лоран Сен Сир,Laurent de Gouvion-Saint-Cyr,Laurent Gouvion de Saint-Cyr,Laurent de Gouvion Saint-Cyr
