,pl,be,uk,ru,bg,sl,cs,en
3324,Bahram II,Бахрам II,Бахрам II,Бахрам II,Бахрам II,Bahram II,Bahrám II,Bahram II
3325,Hormizdas II,Армізд II,Ормізд II,Ормизд II,Хормазд II,Hormizd II,Hormizd II,Hormizd II
3326,Szapur II,Шапур II,Шапур II,Шапур II,Шапур II,Šapur II,Šápúr II,Shapur II
3327,Antoine Perrenot de Granvelle,Нікалас Перэна дэ Гранвела,Антуан Перрено де Гранвель,Антуан Гранвела,Антоан Перено дьо Гранвел,Antoine Perrenot de Granvelle,Antoine Perrenot de Granvelle,Antoine Perrenot de Granvelle
3328,Aleksander Farnese ,Алесандра Пармскі,Алессандро Фарнезе ,Алессандро Фарнезе,Алесандро Фарнезе ,Alessandro Farnese,Alessandro Farnese,Alessandro Farnese
3329,Ferdynand I Habsburg ,Фердынанд I,Фердинанд I ,Фердинанд I ,Фердинанд I ,Ferdinand I. Habsburško-Lotarinški,Ferdinand I. Dobrotivý,Ferdinand I of Bulgaria
3330,Manuel II Paleolog,Мануіл II,Мануїл II,Мануил II Палеолог,Мануил II Палеолог,Manuel II. Paleolog,Manuel II. Palaiologos,Manuel II Palaiologos
3331,Anggun,Ангун,Анггун,Анггун,Ангун,Anggun,Anggun,Anggun
3332,Pinturicchio,Пінтурык'ё,Пінтуріккйо,Пинтуриккьо,Пинтурикио,Pinturicchio,Pinturicchio,Pinturicchio
3333,Janis Joplin,Джэніс Джоплін,Дженіс Джоплін,Дженис Джоплин,Джанис Джоплин,Janis Joplin,Janis Joplin,Janis Joplin
3334,Billy Wilder,Білі Уайлдэр,Біллі Вайлдер,Билли Уайлдер,Били Уайлдър,Billy Wilder,Billy Wilder,Billy Wilder
3335,Zoran Milanović,Зоран Міланавіч,Зоран Миланович,Зоран Миланович,Зоран Миланович,Zoran Milanović,Zoran Milanović,Zoran Milanović
3336,Gabriela Zapolska,Габрыеля Запольская,Габріеля Запольська,Габриеля Запольская,Габриеля Заполска,Gabriela Zapolska,Gabriela Zapolska,Gabriela Zapolska
3337,Alexander Dubček,Аляксандр Дубчак,Александер Дубчек,Александр Дубчек,Александър Дубчек,Aleksander Dubček,Alexander Dubček,Alexander Dubček
3338,Erna Solberg,Эрна Сульберг,Ерна Солберг,Эрна Сульберг,Ерна Солберг,Erna Solberg,Erna Solbergová,Erna Solberg
3339,Arthur Stanley Eddington,Артур Стэнлі Эдынгтан,Артур Еддінгтон,Артур Эддингтон,Артър Едингтън,Arthur Stanley Eddington,Arthur Eddington,Arthur Eddington
3340,Walerij Charłamow,Валерый Барысавіч Харламаў,Валерій Харламов,Валерий Харламов,Валерий Харламов,Valerij Harlamov,Valerij Charlamov,Valeri Kharlamov
3341,Shaun Murphy,Шон Мёрфі,Шон Мерфі,Шон Мерфи,Шон Мърфи,Shaun Murphy ,Shaun Murphy,Shaun Murphy
3342,Aribert Heim,Арыберт Хайм,Аріберт Гайм,Ариберт Хайм,Ариберт Хайм,Aribert Heim,Aribert Heim,Aribert Heim
3343,Grzegorz z Nazjanzu,Грыгорый Багаслоў,Григорій Богослов,Григорий Богослов,Григорий Богослов,Gregor Nazianški,Řehoř z Nazianzu,Gregory of Nazianzus
3344,Aaron Burr,Аарон Бёр,Аарон Берр,Аарон Бёрр,Аарън Бър,Aaron Burr mlajši,Aaron Burr,Aaron Burr
3345,Josef Stefan,Іозеф Стэфан,Йозеф Стефан,Йозеф Стефан,Йозеф Стефан,Jožef Stefan,Jožef Stefan,Josef Stefan
3346,Alberto Tomba,Альберта Томба,Альберто Томба,Альберто Томба,Алберто Томба,Alberto Tomba,Alberto Tomba,Alberto Tomba
3347,Toni Sailer,Тоні Зайлер,Тоні Зайлер,Тони Зайлер,Тони Зайлер,Toni Sailer,Toni Sailer,Toni Sailer
3348,Kesha ,Кеша,Kesha,Кеша ,Кеша,Kesha,Kesha,Kesha
3349,Algirdas Julien Greimas,Альгірдас Жульен Грэймас,Альгірдас Греймас,Альгирдас Греймас,Алгирдас Жулиен Греймас,Algirdas Julien Greimas,Algirdas Julien Greimas,Algirdas Julien Greimas
3350,Stuart Bingham,Сцюарт Бінэм,Стюарт Бінгем,Стюарт Бингем,Стюарт Бингам,Stuart Bingham,Stuart Bingham,Stuart Bingham
3351,Ricky Walden,Рыкі Уолдэн,Ріккі Волден,Рики Уолден,Рики Уолдън,Ricky Walden,Ricky Walden,Ricky Walden
